in_charge,print_number,mvmd_remarks,district,usage,purpose,type,type_detail,make,maintainance,maintainance_remarks,maintainance_end_date,maintenance_mileage,vehicle_class,license,vehicle_model,chassis_number,engine_number,cylinder_capacity,color,body_type,gross_weight,registered_owner,owner_registration_date,manufacture_year,first_registration_date,rearview_mirror,後備匙,spare_key,car_loan,remarks,new_car,gratia_payment_scheme
Adam,,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,18,DFH1160B81,LGAX2C136G1817333,78320612,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-09-21,2016,2016-09-21,,Y,Y,,,,
Adam,W568,,大欖,各區,工程車,燈車,5.5噸燈車,FOTON,,N//A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBB4GJ032765,ISF3.8S515489824466,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-09-23,2016,2016-09-23,,Y,Y,,龍板車,,
Adam,W588,,大欖,各區,工程車,燈車,5.5噸燈車,FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBB6GJ032766,ISF3.8S515489824467,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-09-23,2016,2016-09-23,,Y,Y,,,,
Adam,W582,,大欖,各區,工程車,燈車,5.5噸燈車,FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBB8GJ032770,ISF3.8S515489824454,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-09-23,2016,2016-09-23,,Y,Y,,"2/11/2021-陳建榮通知將UH8339水機(W355)搬至UF445使用
6/11/2019-加裝水機(W355)",,
Adam,W585,由0315暫借。,大欖,各區,合約車,農夫車,農夫車(燈車),ISUZU,,N/A,,,S.P.V.,2,TFR86JD-V,MPATFR86JGT003347,4JK1-PG9657,2499,YELLOW,TRAFFIC WARNING SIGN,2.9,偉金建築,2016-09-28,2016,2016-09-28,Y,Y,Y,,,,
Adam,W559,,大欖,各區,工程車,燈車,5.5噸燈車,FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBB1GJ032769,ISF3.8S515489824456,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-09-28,2016,2016-09-28,,Y,Y,,,,
Adam,W593,,大欖,各區,工程車,燈車,5.5噸燈車,FOTON,,N/A,,,S.P.V.,2,BJ1079VDJE6-FP,LVBV3JBBXGJ032768,ISF3.8S515489824457,3760,YELLOW,TRAFFIC WARNING SIGN,5.5,偉金建築,2016-09-28,2016,2016-09-28,,Y,Y,,,,
Adam,W599,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,2,DFH1160B81,LGAX2C133G1817337,78320617,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-10-11,2016,2016-10-11,Y,Y,Y,,,,
Adam,,,大欖,各區,工程車,護航車 (TMA),16噸護航車,DONGFENG,,N/A,,,S.P.V.,2,DFH1160B81,LGAX2C135G1817338,78320615,6690,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-10-11,2016,2016-10-11,Y,Y,Y,,,,
Adam,,,大欖,各區,工程車,水車,16噸水車(8000升 ),DONGFENG,,N/A,,,S.P.V.,2,DFH1160B81,LGAX2C131G1817336,78320607,6690,YELLOW,ROAD SWEEPER,16,偉金建築,2016-10-31,2016,2016-10-31,,Y,Y,,,,
