vehicle,autotoll_number,vehicle_effective_date,vehicle_end_date
LGDCLA1G6NA103401,,,
LGDCLA1G7NA103410,,,
LGDCLA1G9NA103408,,,
LGDCLA1G0NA103409,,,
LGDCLA1G0NA103412,,,
LGDCLA1GXNA103398,,,
LGDCLA1G1NA103399,,,
JHMRP3870LC201431,CHTC10387610,,
JHMRP3870LC201358,CHTC10387609,,
JAAN1R75KF7100363,,,
JHMRP3870LC201422,CHTC10387594,,
JHMRP3870LC201380,CHTC10387596,,
JHMRP3870LC201327,CHTC10387595,,
LJ11KRBD0M1122114,,,
LJ11KRBD2M1122115,,,
JTFHT02P800191808,,,
JT753AEB005349977,CHTC10403597,,
JTFSAFAP508044119,CHTC10455839,,
JAANPR75HN7101512,CHTC10463772,,
LGAX2D130NT827525,,,
LGAX2D134NT827527,,,
LGAX2D137NT827828,,,
LGAX2D135NT827827,,,
LGAX2D132NT827526,,,
LGAX2D136NT827528,,,
LGAX2D139NT827829,,,
LGAX2D135NT827830,,,
LGAX2D137NT827831,,,
JTDBT22E903324678,,,
JTDBT22E403177119,,,
JTDBT42EX09065577,CHTC10455757,,
JTDBT22E400296645,,,
JTDBT22E903218845,,,
JZDBT22E200018052,,,
JTDBT42E409120847,CHTC10455709,,
JTDBT22E303278863,,,
JTDBT22E603030283,CHTC10462190,,
JHMRP6830NX200028,CHTC10465655,,
LGDCLA1G3NA109642,,,
LGDCLA1G0NA112403,,,
LGDCLA1G5NA112400,,,
LGDCLA1G1NA109641,,,
MMCJLKL60NH020946,,,
MMCJLKL60NH021060,,,
MMCJLKL60NH020990,,,
MMCJLKL60NH020989,,,
MMCJLKL60NH021058,,,
MMCJLKL60MH021067,,,
MMCJLKL60MH020987,,,
MMCJLKL60NH021294,,,
MMCJLKL60NH021296,,,
MMCJLKL60NH021372,,,
MMCJLKL60NH021298,,,
MMCJLKL60NH021304,,,
LGDCLA1GXNA121335,,,
LGDCLA1G7NA112401,,,
LGDCLA1G2NA112404,,,
VR3EFYHZRNJ578166,,,
VR3EFYHZRNJ578167,,,
LC0CE4DC3P0009883,,,
